"name";"answer";"questions";"rcounts"
 Техническая поддержка Библиотека;Добрый день, книги продлены на весенний семестр.;Здравствуйте, в связи с дистантом не могу сдать книги, продлите пожалуйста. книги в целости и не утеряны. спасибо до свидания. Баннова Ульяна Андреевна       IP-адресс: 164.138.88.178=====Здравствуйте. Мне ставят задолженность в библиотеке. Но моя группа находится на вынужденном дистанционном обучении. Я из другого города, региона. Книги сдать не представляется возможным Следующий семестр обещают сделать очным. При первой же возможности книги будут сданы в библиотеку.  Прошу Вас разобраться с этим вопросом и не ставить мне в задолженность несданные книги.  С уважени;5
 Техническая поддержка Библиотека;Здравствуйте, билет разблокирован.;Добрый день!   Мой читательский билет библиотеки ТОГУ был заблокирован после подписания обходного листа бакалавра. Сейчас я учусь в магистратуре. Читательский билет нужно разблокировать. Библиотека говорит что только вы можете это сделать через лотус.      IP-адресс: 87.225.66.200=====Добрый день! Мой читательский билет библиотеки ТОГУ был заблокирован после подписания обходного листа бакалавра. Сейчас я учусь в магистратуре. Читательский билет нужно разблокировать. Библиотека говорит что только вы можете это сделать через лотус.      IP-адресс: 80.83.234.62;2
"4. Техническая поддержка (support@pnu.edu.ru)";select * from student_card sc  join public.group g on g.id = sc.group_id  where sc.person_id = '77905';Здравствуйте.  Прошу техподдержки по студенту Ван Владимир Евгеньевич  РУ(аб)з-61  Цитирую часть письма:  При попытке зарегистрироваться на портале ТОГУ без кода, выдает такое  сообщение!  [image: image.png]  С уважением, замдиректора Кулик И.В.=====Здравствуйте!  Не могу распечатать логин и пароль от сайта, не высвечивается студент в  портале, хотя в Лотусе студент числится.    Скрин прилагаю    С уважением, секретарь ИЭУ, Е.К. Цнобиладзе;2
"4. Техническая поддержка (support@pnu.edu.ru)";"Браузерная версия для смартфона может работать некорректно, попробуйте использовать приложение gmail для смартфона (доступно для android (обычно установлено по умолчанию) и ios в app.store) или воспользоваться браузерной версией на компьютере. Перейти в браузерную версию почты на компьютере можно нажав на иконку почты в верхней части портала ТОГУ. Для добавления почты в приложении нужно нажать иконку профиля в правом верхнем углу, после чего ""Добавить аккаунт"", в появившемся окне набрать адрес электронной почты ""2021100584@pnu.edu.ru"" без кавычек. После чего вы будете перенаправлены на страницу входа в портал ТОГУ где необходимо ввести свои данные для входа. После выполнения этих действий аккаунт будет добавлен в приложение. Вы сможете отправлять почту и пользоваться поиском преподавателя по ФИО.";У меня не исправно работает почта   Не могу найти преподавателя по ФИО      IP-адресс: 80.83.234.223=====У меня не исправно работает почта   Не могу найти преподавателя по ФИО      IP-адресс: 80.83.239.91;2
"4. Техническая поддержка (support@pnu.edu.ru)";Были обновления операционной системы;"Добрый день. коллеги, возникла проблема с IBNNotes  [image: image.png]    [image: image.png]  Не получается открыть ЛогикаЕСМ ТОГУ (коммутатор, принятие решений.  поручения)    --   С уважением - Медведева Галина Геннадьевна,  проректор, ученый секретарь ученого совета Тихоокеанского государственного  университета  (4212) 768526-доб.1010=====Добрый день!    http://10.10.12.112/referent/br_switch.nsf    [image: image.png]    http://br.pnu.edu.ru/    [image: image.png]    Через лотус    [image: image.png]        --   С уважением,  Гусляков Виктор Владимирович,  Начальник отдела сопровождения административных процессов  ФГБОУ ВО ""Тихоокеанский государственны";4
"4. Техническая поддержка (support@pnu.edu.ru)";В базе нет сведений о том что Вы являетесь преподавателем;"На рабочем столе в личном кабинете исчезла закладка ""Расписание"". Не могу зайти в электронный журнал преподавателя и поставить оценки в экзаменационную ведомость.      IP-адрес: 10.10.100.114=====В личном кабинете пропала закладка ""Расписание (электронный журнал)"" в связи с этим не имею возможность проставить оценку обучающимся в экзаменационные ведомости!      IP-адрес: 10.10.100.114";2
"4. Техническая поддержка (support@pnu.edu.ru)";В вашем личном кабинете раздел будет доступен через 15 минут.;Здравствуйте! Мне недоступно заполнение табеля    [image: image.png]    --   С уважением, зав. кафедрой Правоведения, к.ю.н., доцент Хадыкина Елена=====Здравствуйте, подключите меня, ведущго документоведа деканата факультета  искуссв, рекламы и дизайна Вергель Надежду Федоровну к удаленному режиму.  Мн нужно сдавать табель, делать справки для студентов и создавать ведомости  текущей промежуточной аттестации. Спасибо=====Здравствуйте, к вам обращается зав. лабораторией кафедры БЭХ Стукова О.Ю. просьба восстановить доступ к заполнению до этого момента у меня был доступ к ;40
"4. Техническая поддержка (support@pnu.edu.ru)";в данный момент проводятся технические работы, повторите попытку через час;Добрый день, мне нужно подать заявление о подтверждении обучения в ТОГУ. Но у меня попросту нет кнопки подать, хотя все поля заполнены.       =====Здравствуйте, хотела оформить скидку обучение, а не получается. Не вылазит заявление.      IP-адресс: 213.221.12.250;2
"4. Техническая поддержка (support@pnu.edu.ru)";В настоящее время у Вас нет активных учетных карточек ППС. Возможно истечение срока контракта. Права восстановятся как только будет обработан приказ о приеме на работу, на должность ППС.;"Добрый день!   В личном кабинете пропала вкладка Журнал преподавателя!      IP-адресс: 5.8.206.135=====Здравствуйте. Подскажите, пожалуйста, почему перестал отображаться раздел ""Журнал преподавателя""!  Хотела проверить, все ли заполнено.      IP-адресс: 46.174.105.205=====Добрый день! Исчез журнал преподавателя, нет возможности закончить работу      IP-адресс: 62.249.146.123=====Добрый день! Я преподаватель кафедры правоведения ЮИ Радионова Ольга Александровна. В   В моем личном кабинете отсутствует журнал преподавателя. Прошу Вас оказать помощь в устранении данной проблемы.       IP-адресс: ";4
"4. Техническая поддержка (support@pnu.edu.ru)";"В оценках за сессию, есть 2 вкладки: Обучается и Переведен. Ваши оценки находятся во вкладке ""Обучается"".  Если оценок нет, пришлите скриншоты обеих вкладок.";Здравствуйте, у меня не отображается 3 семестр в разделе оценки за сессию  как это исправить?=====Здравствуйте, пропали в личном кабинете оценки за второй семестр первого курса.  Звонила в деканат предметы все стоят.  Ошибка в самом личном кабинете      IP-адресс: 185.3.180.246;2
